AAB	Abelag Aviation	ABG
OAE	Omni Air Express, Inc. (Tulsa, OK)	Omni-Express
OAL	Olympic Air	Olympic
OAN	?	Otan
OAO	Arkhangelsk 2 Aviation Division - Russian Federation	Dvina
OAP	Coapa Air, S.A. de C.V. - Mexico	Coapa
OAR	?	Boss Air
OAS	Oasis Flight Ltd	Orchid
OAV	Omni - Aviacao e Tecnologia, Lda	Omni
OAW	Helvetic Airways AG - Switzerland	Helvetic
OBA	Aerobanana, S.A. de C.V. - Mexico	Aerobanana
OBC	Olympic Broadcasting Services	Olycam
OBJ	?	Objetivo
OBK	Amako Airlines Limited - Nigeria	Amako Air
OBS	Orbest	Orbest
OCA	Aeroservicios Carabobo, C.A. (Aserca) - Venezuela	Arosca
OCE	Helicocean - France	Heliocean
OCO	Ostend Air College	Air College
ODI	Jonsson, H. Air Taxi - Iceland	Odinn
ODM	?	Jetafrica
ODS	Odessa Airlines	Odessa Air
OEA	Orient Thai Airlines	Orient Thai
OED	Orion Air Charter	Orion Charter
OES	?	Art Austria
OEW	?	Dreamer
OFA	Helitaxi Ofavi, S.A. de C.V. - Mexico	Ofavi
OFL	Open Flight	Open Flight
OFY	?	Aerosof
OGA	Oasis Air	Oasis Air
OGI	Aerogisa, S.A. de C.V. - Mexico	Aerogisa
OGJ	Bakoji Airlines Services Ltd - Nigeria	Bako Air
OHC	Jet-Select (Columbus, OH) - United States	Ohio-Charter
OHS	Odengene Air Shuttle Services Limited	Odengene
OHY	Onur Hava Tasimacilik Awms	Onur Air
OIX	Orion-X	Orionix
OJO	OneJetOne Airways	Ohjoh
OJT	Oryxjet Ltd	Orystar
OKA	Okay Airways Company Limited	Okayjet
OKC	?	Thunder Wings
OKJ	Okada Airlines Limited	Okada Air
OKL	"Oklahoma Department of Public Safety, Troop ""O"" (Bethany, OK)"	Oklahoma
OKS	Slok Air International (Gambia) Limited - Gambia	Slok Gambia
OKT	Soko Aviation, S.L. - Spain	Soko Air
OLA	Overland Airways Limited	Overland
OLC	Solar Cargo C.A. - Venezuela	Solarcargo
OLD	?	Air Orenda
OLE	Operadora de Lineas Ejecutivas, S.A. de C.V.	Operadora
OLL	Operadora Llaminmex, S.A. de C.V.	Minmex
OLR	Colaereos - Ecuador	Colaereos
OLS	Sol S.A. Lineas Aereas - Argentina	Flight Sol
OLV	?	Olivia
OLY	Greece	Olyair
OMA	Oman Air	Oman Air
OMB	Nigeria	Omniblu
OMF	Omniflys, S.A. de C.V.	Omniflys
OMG	Aeromega Ltd - United Kingdom	Omega
OML	Organizacoes Mambra, Lda	Mambra
OMN	?	Serviomnia
OMR	Minair - Central African Republic	Ormine
OMS	?	Mazoon
ONE	Oceanair - Linhas Aereas Ltda.	Oceanair
ONO	Aeronor, S.A. de C.V. - Mexico	Noraero
ONS	?	Air Dreams
ONT	Government of Ontario - Canada	Ontario Government
ONX	Air Onix - Ukraine	Onixair
OOT	Out of the Blue Air Safaris (Pty) Ltd	Ootbas
OPJ	Opera Jet S.R.O.	Opera Jet
OPM	?	Optima
OPN	K & R Aviation (Rockville, MD)	Open Air
OPS	Jet-Ops	Ops-Jet
OPT	Flight Options (Johnson City, NY)	Options
OPV	Operadora de Vuelos Ejecutivos, S.A. de C.V.	Operadora de Vuelos
ORA	Montauk Caribbean Airways, Inc. D/B/A Long  Island Airlines - United States	Long Island
ORB	Orenburg Airlines, JSC	Orenburg
ORC	Oriental Air Bridge Co., Ltd	Oriental Bridge
ORE	Orange Aviation	Orange Aviation
ORF	Oman Royal Flight	Oman
ORG	?	Orenavia
ORH	?	Orsha
ORI	Orionair, S.L.	Red Globe
ORK	Orca Airways Ltd	Orca
ORO	CNair, S.A. - Spain	Capri
ORR	Operadora Turistica Aurora, S.A. de C.V.	Turistica Aurora
ORX	Orbit Ekspres Hava Yollari A.S. (Orex)	Orex
ORZ	Zorex, S.A.	Zorex
OSD	National Airborne Operations Center, U.S. Strategic Command - United States	Secdef
OSJ	Republic of Moldova	Oscarjet
OSL	Sosoliso Limited - Nigeria	Sosoliso
OSN	Aerosan, S.A. de C.V. - Mexico	Aerosan
OSS	Servicios Aereos Noticiosos, S.A. de C.V. - Mexico	Noticiosos
OSU	?	Scarlet
OSY	Open Skies Consultative Commission (OSCC)	Open Skies
OTA	?	Outlaw
OTC	?	Air Travel
OTF	?	Orangesky
OTJ	Ten Airways - Romania	Tender Air
OTK	On-Track Aviation Ltd	On Track
OTL	South Airlines - Ukraine	Southline
OTM	Onetime Airlines Zambia Limited	Zedtime
OTN	Lastp-Linhas Aereas de S. Tome e Principe  (Sao Tome and Principe Airlines) - Sao Tome and Principe	Lastp
OTR	Orient Airlines	Orientroc
OTS	Aerotresalia, S.A. de C.V. - Mexico	Tresalia
OUA	University of Oklahoma, Department of Aviation (Norman, OK) - United States	Crimson
OUF	?	Element
OVA	Aero Nova - Spain	Aeronova
OVD	?	Russia Corp
OVE	Aeromover, S.A. de C.V. - Mexico	Aeromover
OWE	?	Owenair
OWL	Miami Valley Aviation, Inc. (Middletown, OH)	Night Owl
OWN	?	Aero Owen
OWT	?	Brasil Cargo
OXF	Oxford Aviation Academy	Oxford
OXM	Orion (Malta) Ltd	Orion Malta
OXS	Oxus Airways	Oxus Airways
OYE	Koda International Ltd - Nigeria	Koda Air
OZB	?	Air Primus
OZJ	Ozjet Airlines Pty. Ltd	Ausjet
OZT	?	Ozark Tech
OZW	Skywest Airlines Pty Ltd - Australia	Ozwest
PAA	Pan American Airways Corporation (Dania, FL) - United States	Clipper
PAB	Parair	Parair
PAC	Polar Air Cargo Worldwide, Inc. (Washington, DC)	Polar
PAD	Professional Express Courier Service, Inc. (Seattle, WA)	Air Professional
PAE	Paisajes Espanoles, S.A. - Spain	Paisajes
PAG	Perimeter Aviation Ltd. - Canada	Perimeter
PAH	Panorama Air Tour, Inc. (Honolulu, HI) - United States	Lani
PAI	Paradise Airways, Inc. (Smyrna, TN) - United States	Sea Ray
PAJ	Aliparma - Italy	Aliparma
PAK	Pacific Alaska Airlines (Fairbanks, AK) - United States	Pacific Alaska
PAL	Philippine Air Lines Inc. (Pal) - Philippines	Philippine
PAM	?	Map Air
PAO	Polynesian Airline Operations Ltd. - Samoa	Polynesian
PAQ	Pacific Air Express (Solomon Islands) Limited - Solomon Islands	Solpac
PAR	Pacific Rim Airways Pty Ltd - Australia	Pacrim
PAS	Pelita Air Service, Pt. - Indonesia	Pelita
PAT	Department of the Army, Priority Air Transport  (Davison Aviation Command) (Fort Belvoir, VA) - United States	PAT
PAU	?	Palairways
PAV	Proair Aviation GmbH, Filderstadt - Germany	Brilliant
PAW	Pointair Burkina - Burkina Faso	Pointair Burkina
PAX	Pan Air, Inc. (Houston, TX) - United States	Pannex
PAZ	Point Afrique Niger SA - Niger	Pointair Niger
PBB	Polizeihubschrauberstaffel Brandenburg, Diepensee	Adebar
PBC	Aerotaxis Paba, S.A. de C.V. - Mexico	Paba
PBD	?	Pobeda
PBF	Pennsylvania Bureau of Forestry - Forest Fire Protection (Harrisburg, PA) - United States	Penn-Forest
PBN	?	Bluebird
PBR	?	Polar Bear
PBT	Air Parabat Ltd - Bangladesh	Parabat
PBU	Air-Burundi - Burundi	Air-Burundi
PBW	Polizeihubschrauberstaffel Baden-Wurttemberg	Bussard
PBY	Pearl Air Services (U) Ltd. - Uganda	Pearl Services
PCA	?	Piyo Air
PCC	Perforadora Central, S.A. de C.V. - Mexico	Perforadora Central
PCE	Piedmont Aviation Services, Inc. D/B/A Pace Airlines (Winston-Salem, NC) - United States	Pace
PCF	?	Pacific
PCG	Aeropostal Cargo de Mexico, S.A. de C.V. - Mexico	Postal Cargo
PCH	Pilatus Flugzeugwerke AG - Switzerland	Pilatus Wings
PCI	?	Protea Coin
PCJ	Pacific Jet, Inc. (Anchorage, AK) - United States	Pacific Jet
PCK	Air Pack Express S.A. - Spain	Airpack Express
PCL	Pinnacle Air Group (Springdale, AR) - United States	Pinnacle Group
PCM	Westair Industries, Inc. (Chico, CA)	Pac Valley
PCN	Princeton Aviation Corporation (Princeton, NJ) - United States	Princeton
PCO	Pacific Coastal Airline - Canada	Pasco
PCP	Aerolinea Principal Chile S.A: - Chile	Principal
PCR	Pearson Aviation Corporation D/B/A Pac Air (Nashua, NH) - United States	Pacair
PCS	Air Palace, S.A. de C.V. - Mexico	Air Palace
PCT	German Navy Pollution Patrol	Pollution Patrol
PCW	Trans-Pacific Orient Airways Inc. - Philippines	Pacific Orient
PDA	Podilia-Avia - Ukraine	Podilia
PDD	Phillips Alaska, Inc. (Anchorage, AK) - United States	Pada
PDG	PLM Dollar Group Limited - United Kingdom	Osprey
PDI	?	Coki
PDK	?	Predannack
PDQ	P D Q Air Charter, Inc. (Pontiac, MI)	Dispatch
PDT	?	Piedmont
PDV	Elicar S.r.l. - Italy	Elicar
PDX	Package Delivery Xpress Ltd - Bahamas	Package Express
PDY	Pen-Avia Ltd - United Kingdom	Pendley
PEC	Pacific East Asia Cargo Airlines, Inc. - Philippines	Pac-East Cargo
PEF	Perfect Aviation, SA - Portugal	Perfect Aviation
PEG	?	Pegjet
PEI	Panamedia, S.L. - Spain	Panamedia
PEJ	Premier Executive Jet - Ireland	Premier Wings
PEO	Petro Air - Libyan Arab Jamahiriya	Petro Air
PER	?	Pas Air
PET	Aerotransporte Petrolero Ltda. - Colombia	Aeropetro
PEV	Altenrhein Luftfahrt GmbH - Austria	Peoples
PFA	Pacific Flight Services Pte Ltd - Singapore	Pacific Sing
PFC	Performance Air Ltd - Bahamas	Performance Air
PFI	Aerolineas Chihuahua Al Pacifico, S.A. de C.V. - Mexico	Pacifico Chihuahua
PFL	Aviation Matters, Inc. (Pacificflyer) - Palau	Pacificflyer
PFP	Policia Federal Preventiva - Mexico	Policia Federal
PFR	Pacificair Airlines (Corvallis, OR) - United States	Pacific West
PFT	?	Paragon Flight
PFU	Air Pfunwa - Zimbabwe	Pfunwa
PFY	Pel-Air Aviation Pty Ltd	Pelflight
PFZ	Proflight Air Services Limited - Zambia	Proflight-Zambia
PGA	Portugalia, Companhia Portuguesa de Transportes Aereos S.A.	Portugalia
PGJ	?	Uber
PGL	Premiair Aviation Services Ltd - United Kingdom	Premiere
PGN	Volo Aviation, LLC (Stratford, CT)	Peregrine
PGP	Perm State Air Enterprise - Russian Federation	Perm Air
PGT	Pegasus Hava Tasimaciligi A.S. (Pegasus)	Sunturk
PGV	Pegase Aviation - South Africa	Flana
PGX	Paragon Air Express, Inc. - United States	Paragon Express
PHA	Phoenix Air Group, Inc. (Cartersville, GA) - United States	Gray Bird
PHB	Phoebus Apollo Aviation - South Africa	Phoebus
PHC	Petroleum Helicopters de Colombia S.A. - Colombia	Helicopters
PHD	Duncan Aviation, Inc. (Lincoln, NE) - United States	Panhandle
PHE	Pawan Hans Limited - India	Pawan Hans
PHF	?	Shan Feng
PHG	Pennine Helicopters Ltd - United Kingdom	Pennine
PHH	Polizeihubschrauberstaffel Hessen, Egelsbach	Ibis
PHJ	?	Peachjet
PHL	Phillips Michigan City Flying Service, Inc.  (Michigan City, IN) - United States	Phillips
PHM	Petroleum Helicopters, Inc. (Lafayette, LA) - United States	Petroleum
PHS	Polizeihubschrauberstaffel Sachsen, Dresden	Passat
PHT	Pan Havacilik Ve Ticaret A.S. - Turkey	Panank
PHU	Pannon Air Service Ltd - Hungary	Pannon
PHV	Phenix Aviation - France	New Bird
PIA	Pakistan International Airlines Corporation (PIA)	Pakistan
PIC	Pacific Airlines Holding Co. - Viet Nam	Pacific Airlines
PIF	Aeroservicios California Pacifico, S. de R.L. de C.V. - Mexico	Aerocalpa
PIK	Polizeihubschrauberstaffel Sachsen-Anhalt, Magdeburg	Police Ikarus
PIM	Pinframat, Lda - Angola	Pinframat
PIN	Pacific International Airlines, Inc. (Tucson, AZ) - United States	Road Runners
PIO	Pioneer Airlines, Inc. (Denver, CO) - United States	Pioneer
PIP	?	Pilot
PIR	Pamir Air - Afghanistan	Pamir
PIS	?	Parsis
PIU	43 Air School	Prima
PIV	Sokol, Joint-Stock Aviation Company - Russian Federation	Aerosokol
PJA	Private Jet Management (Elyria, OH) - United States	Private Flight
PJC	Holman Leasing Systems, Inc., Pittsburgh Jet Center (Zelienople, PA)	Pittsburgh Jet
PJE	Private Jet Expeditions, Inc. (Atlanta, GA) - United States	Pee Jay
PJF	?	Projet
PJM	?	Privatec
PJP	Princely Jets (Pvt) - Pakistan	Princely Jets
PJR	?	Prestigejet
PJS	Jet Aviation, Business Jets AG - Switzerland	Jetaviation
PJT	Partner Jet Inc. - Canada	Partnerjet
PJZ	?	Primejet
PKP	Mountain Air Express, Inc. (Colorado Springs, CO)	Pikes Peak
PKR	Pakker Avio Ltd	Pakker Avio
PKW	Pak West Airlines, Inc. (Stockton, CA) - United States	Platinum West
PKZ	Prime Aviation JSC - Kazakhstan	Pravi
PLA	Polynesian Air-Ways (Honolulu, HI) - United States	Polyair
PLB	Polynesian Blue - New Zealand	Polyblue
PLC	Police Aviation Services - United Kingdom	Special
PLF	Polish Air Force	Polish Airforce
PLG	?	Pilgrim
PLL	Air Pal, Escuela de Pilotos - Spain	Airpal
PLM	Spain	Pullman
PLN	Planar - Sociedade de Aviacao Civil Sarl - Angola	Planar
PLQ	?	Planetcam
PLR	Northwestern Air Lease Ltd. - Canada	Polaris
PLS	?	Aeroplus
PLT	South Carolina Aeronautics Commission (Columbia, SC) - United States	Palmetto
PLU	Pilatus PC-12 Center de Mexico, S.A. de C.V. - Mexico	Pilatus Mexico
PLV	Perla Airlines, C.A. - Venezuela	Perla
PLX	Pool Aviation - United Kingdom	Poolex
PLY	Puma Linhas Aereas Ltda - Brazil	Puma Brasil
PMA	Pan Malaysian Air Transport - Malaysia	Pan Malaysia
PMC	Primac Courier, Inc. (Englewood Cliffs, NJ) - United States	Primac
PMI	?	Aereoprim
PML	?	Prime Nigeria
PMM	?	Paradigm
PMO	Polar Airlines de Mexico, S.A. de C.V. - Mexico	Polar Mexico
PMR	Servicios Aereos Premier, S.A. de C.V. - Mexico	Servicios Premier
PMS	Planemaster Services, Inc. (West Chicago, IL) - United States	Planemaster
PMT	Progress Multitrade Co., Ltd - Cambodia	Multitrade
PMV	Polizeihubschrauberstaffel Mecklenburg-Vorpommern, Laage	Police Merlin
PMW	Paramount Airways - India	Paraway
PNA	?	Tropic Bird
PNE	Peninter Aerea, S.A. de C.V. - Mexico	Peninter
PNF	Malta	Zebec
PNH	Panh, Joint-Stock Company - Russian Federation	Kuban Lik
PNJ	?	Pac Jet
PNK	?	Air Pink
PNL	Aero Personal, S.A. de C.V. - Mexico	Aeropersonal
PNP	Pineapple Air - Bahamas	Pineapple Air
PNR	Panair - Spain	Skyjet
PNS	Survey Udara Penas, Pt. - Indonesia	Penas
PNU	Aero Servicios Platinum, S.A. de C.V. - Mexico	Aero Platinum
PNW	Palestinian Airlines - Egypt	Palestinian
PNX	?	Spinner
PNY	Polish Navy	Polish Navy
POA	Portuguese Army	Portuguese Army
POB	Servicios Aereos Poblanos, S.A. de C.V. - Mexico	Poblanos
POC	Pocono Air Lines, Inc. (East Stroudsburg, PA)	Pocono
POE	Porter Airlines Inc. - Canada	Porter Air
POF	Police Aux Frontiers - France	Airpol
PON	Portuguese Navy	Portuguese Navy
POR	Porteadora de Cosola, S.A. de C.V. - Mexico	Porteadora
POT	Aircompany Polet, CJSC - Russian Federation	Polet
POV	Meridian, Aviation Enterprise of Special Purpose - Ukraine	Air Poltava
POW	Hagondale Limited - United Kingdom	Airnet
POY	Apoyo Aereo, S.A. de C.V. - Mexico	Apoyo Aereo
PPA	Propheter Construction Company, Inc. D/B/A  Propheter Aviation (Sterling, IL) - United States	Air Prop
PPC	Palau Asia Pacific Airlines	Palau Asiapac
PPD	Malta	Personal
PPG	Phoenix Air Transport, Inc. (Phoenix, AZ) - United States	Papago
PPH	Polizeihubschrauberstaffel Neidersachsen, Hannover	Police Phoenix
PPK	Ramp 66 (North Myrtle Beach, SC) - United States	Pelican
PPL	?	Pegasus
PPM	Pacific Pearl Airways Corporation - Philippines	Pacific Pearl
PPQ	Personas y Paquetes Por Aire, S.A. de C.V. - Mexico	Personaspaq
PPR	Propstar Aviation Ltd - United Kingdom	Propstar
PPS	Butte Aviation, Inc. (Butte, MT)	Pipestone
PPU	Polish Air Navigation Services Agency	Papuga
PPV	?	Pavlovsk
PQA	Pacific Coast Airlines (Newport Beach, CA) - United States	Sage Brush
PRA	Pars Aviation Service Co. - Iran (Islamic Republic of)	Parsavia
PRB	?	Prams Air
PRC	Pacific Air Charter, Inc. (San Diego, CA) - United States	Pacific Charter
PRD	Presidential Aviation (Ft. Lauderdale, FL)	Presidential
PRE	Precision Airlines (North Springfield, VT) - United States	Precision
PRF	Precision Air Services Ltd. - United Republic of Tanzania	Precision Air
PRG	Air Prague - Czech Republic	Air Prague
PRH	Pro Air, Inc. (Seattle Wa) - United States	Prohawk
PRI	Primera Air Scandinavia	Primera
PRJ	Taxi Fly Group S.A. - Spain	Pronair
PRK	Swallow Aviacion, S.L. - Spain	Paraca
PRL	Pearl Air - Pakistan	Pearl Line
PRM	Prime Air, Inc. (Octerville, MA) - United States	Prime Air
PRN	Pirinair Express, S.L. - Spain	Pirinair Express
PRO	Propair, Inc - Canada	Propair
PRP	PRT Aviation S.L. - Spain	Pronto
PRQ	?	Skyrider
PRT	?	Prime Italia
PRU	?	Colorbird
PRW	?	Jetbird
PRX	VIP Avia - Latvia	Parex
PRY	Priority Air Charter, LLC (Kidron, OH) - United States	Priority Air
PRZ	Mexico	Aeronautic
PSA	Pacific Island Aviation, Inc. (Saipan, MP) - United States	Pacific Isle
PSB	Syrian Pearl Airlines - Syrian Arab Republic	Syria Pearl
PSC	?	Pascan
PSE	Aeroservicio Sipse, S.A. de C.V. - Mexico	Sipse
PSF	Plymouth School of Flying Ltd	Lizard
PSG	?	Pier Jet
PSH	Helidrome Ltd T/A Red Aviation - United Kingdom	Passion
PSI	Pont International Airline Services N.V. - Suriname	Pont
PSJ	?	Al-Shohra Jets
PSK	Prescott Support Company (Nashville, TN)	Support
PSL	Aeroservicios Corporativos de San Luis, S.A. de C.V. - Mexico	Corsan
PSN	Potosina del Aire, S.A. de C.V. - Mexico	Potosina
PSO	?	Aeropegaso
PSP	Publiservicios Aereos, S.A. de C.V. - Mexico	Publiservicios
PSR	Polestar Aviation - United Kingdom	Polestar
PSS	TsSKB-Progress, Air Company - Russian Federation	Progress
PST	Parsa, S.A.  - Panama	Turismo Regional
PSU	?	Premium
PSV	Servicios Aereos Profesionales, S.A. - Dominican Republic	Proservicios
PSW	Pskovavia - Russian Federation	Pskovavia
PSX	Pacific Southwest Airlines, Inc. (Carlbad, CA) - United States	Smiley
PSZ	Pro Air Service (Miami, FL) - United States	Pop-Air
PTA	?	Pontair
PTB	Passaredo Transportes Aereos S.A. - Brazil	Passaredo
PTC	Pilot Training College	Mentor
PTD	Aero Servicio Pity, S.A. de C.V. - Mexico	Pity
PTE	Aero Copter, S.A. de C.V. - Mexico	Aero-Cop
PTG	Privatair GmbH, Dusseldorf - Germany	Privatjet
PTH	Proteus Helicopteres - France	Proteus
PTI	Privatair SA	Privatair
PTJ	"Airshows America ""The Patriots"" (Byron, CA)"	Pat-Jets
PTK	Petropavlovsk-Kamchatsk Air Enterprise	Petrokam
PTL	Providence Airline (Coventry, RI) - United States	Plantation
PTM	Southeastern Airways Corp. (Double Springs, AL) - United States	Postman
PTN	Pantanal Linhas Aereas Sul-Matogrossenses S.A. - Brazil	Pantanal
PTO	Pilot Training Network, GmbH, Laage	Rookie
PTP	Palau Trans Pacific Airline	Trans Pacific
PTQ	Port Townsend Airways (Port Townsend, WA) - United States	Townsend
PTS	Performance Transportacion, S.A. de C.V. - Mexico	Pentra
PTT	Promotora Industria Totolapa, S.A. de C.V. - Mexico	Totolapa
PTY	Petty Transport, LLC (Greensboro, NC) - United States	Petty
PUA	Primeras Lineas Uruguayas de Navegacion Aerea (Pluna) - Uruguay	Pluna
PUE	?	Spanish
PUL	Ornge Air	Pulse
PUN	?	Practise
PUR	Spurwing Airlines (Pty) Ltd - South Africa	Spurwing
PUV	Publivoo, Publicidade e Imagens Aereas, Lda. - Portugal	Publivoo
PVA	Aerotransportes Privados, S.A. de C.V. - Mexico	Transprivado
PVE	Plan Aeronaves, S.A. de C.V. - Mexico	Plan Aeronaves
PVG	Privilege Style, S.A.	Privilege
PVL	?	Provincial
PVN	?	Peruvian
PVO	?	Private Orange
PVU	Peau Vava''u Limited - Tonga	Peau
PVS	?	Pasa
PVV	?	Sunday
PWA	Priester Aviation (Wheeling, IL) - United States	Priester
PWC	Pratt and Whitney Canada	Pratt
PWF	Private Wings Flugcharter GmbH, Berlin - Germany	Private Wings
PWY	?	Yourways
PXA	Pecotox Air - Republic of Moldova	Pecotox
PXG	?	Phoenix Global
PXJ	?	Phoenix Jet
PXR	?	Pixair
PXX	Aroostook Aviation, Inc. (Frenchville, ME)	Pine State
PYA	?	Pouya Air
PYC	Aeropycsa, S.A. de C.V. - Mexico	Aeropycsa
PYN	Haverfordwest Air Charter Services - United Kingdom	Poyston
PYZ	Players Air, Inc. (Lawrenceville, GA) - United States	Players Air
PZA	Aereo Taxi Paraza, S.A. de C.V. - Mexico	Aereo Paraza
QAC	Qatar Air Cargo	Qatar Cargo
QAF	Qatar Amiri Flight	Amiri
QAI	?	Chickpea
QAJ	Quick Air Jet Charter GmbH	Dagobert
QAQ	?	Qurinea Air
QAS	Quisqueya Airlines S.A.	Quisqueya
QAZ	?	Samruk
OBA	?	Bilqis
QCL	Aerovip S.A. (Air Class) - Uruguay	Acla
QDA	?	Sky Legend
QFA	Qantas Airways Limited	Qantas
QFZ	Fars Qeshm Air Lines - Iran (Islamic Republic of)	Fars Qeshm
QGA	?	Quadriga
QID	U.S. Air Force 100th Air Refueling Wing, RAF Mildenhall	Quid
QJT	Qingdao Jiutian-Spartan International Flight Academy Co., Ltd	Jiu Tian
QLK	Qantaslink	Q Link
QMX	Quest Mexicana, S.A. de C.V.	Quest Mexicana
QNK	Kabo Air Travels - Nigeria	Kabo
QNR	Queen Air S.r.o.	Queen Air
QNZ	Jet Connect Ltd - New Zealand	Qantas Jetconnect
QPL	?	Qupula
QQE	?	Qrex
QSC	African Safari Airways Ltd. - Kenya	Zebra
QSM	?	Qeshm Air
QSR	?	Sparkle Roll
QTM	Quantum Air S.A.	Gansum
QTR	Qatar Airways Company	Qatari
QUE	Gouvernement Du Quebec, Service Aerien Gouvernemental - Canada	Quebec
QUI	Aero Quimmco, S.A. de C.V. - Mexico	Quimmco
QVR	Kvadro Aero Ltd	Pegaso
QXE	Horizon Airlines, Inc. (Seattle, WA)	Horizon Air
RAA	Rynes Aviation, Inc. (Melrose Park, IL) - United States	Rynes Aviation
RAB	Rayyan Air Pvt. Ltd - Pakistan	Rayyan International
RAC	Icar Air - Bosnia and Herzegovina	Tuzla Air
RAD	Alada Empresa de Transportes Aereos - Angola	Air Alada
RAE	Regional, Compagnie Aerienne Europeenne - France	Regional Europe
RAF	Farnas Aviation Services - Sudan	Farnas
RAG	?	Raglan
RAK	Riga Airclub (Latvian Professional Air Sport Center) - Latvia	Sport Club
RAL	Roswell Airlines (Roswell, NM) - United States	Roswell
RAM	Royal Air Maroc - Compagnie Nationale de Transports Aeriens - Morocco	Royalair Maroc
RAN	Renan Ltd - Republic of Moldova	Renan
RAP	Air Center Helicopters, Inc. (Fort Worth, TX)	Raptor
RAR	Rotation International Air Services - Ethiopia	Rotation Air
RAS	Jim Ratliff Air Service,Inc. D/B/A Ras (Columbus, MS) - United States	Shanhil
RAT	?	Raindrop
RAU	Uganda Royal Airways - Uganda	Uganda Royal
RAV	Rollins Air S. de R.L. - Honduras	Rollins
RAW	Regional Air Limited - Kenya	Blueray
RAX	Royal Air Freight, Inc. (Waterford, MI) - United States	Air Royal
RBA	Royal Brunei Airlines	Brunei
RBB	Rabbit-Air Ag, Zurich - Switzerland	Rabbit
RBC	Republicair, S.A. de C.V. - Mexico	Republicair
RBD	?	Redbird
RBG	Air Arabia Egypt	Arabia Egypt
RBK	Rio Baker	Riobaker
RBL	Royal Belau Airlines	Royal Belau
RBN	Red Baron Aviation, Inc. (Tampa, FL)	Red Baron
RBR	?	Siam Airnet
RBT	Air Rabat - Morocco	Air Rabat
RBU	Airbus France - France	Corvette
RBW	Shandong Airlines Rainbow Jet Co., Ltd - China	Cai Hong
RBY	Vision Airlines, Inc. D/B/A Vision Air (North Las Vegas, NV)	Ruby
RCA	Richland Aviation (Sidney, MT) - United States	Richland
RCB	Real Aero Club de Baleares - Spain	Baleares
RCD	Real Aeroclub de Tenerife - Spain	Aeroclub
RCG	Royal Air Cargo - South Africa	Royal Cargo
RCH	Air Mobility Command (AMC)	Reach
RCI	Air Cassai Lda. - Angola	Air Cassai
RCJ	?	Newpin
RCM	Air Cannes Mediterranee - France	Cannes Azur
